income_am,profit_last_am,profit_am,damage_am,damage_inc,crd_lim_rec,credit_use_ic,lactose_ic,insurance_ic,spa_ic,empl_ic,cab_requests,married_cd,bar_no,sport_ic,neighbor_income,age,marketing_permit,urban_ic,dining_ic,presidential,client_segment,sect_empl,prev_stay,prev_all_in_stay,fam_adult_size,children_no,tenure_mts,company_ic,claims_no,claims_am,nights_booked,gender,shop_am,shop_use,retired,gold_status
10450.0,600.0,5322.0,0.0,0.0,15000.0,0.0,1.0,1.0,1.0,0.0,8.0,True,2.0,1.0,36177.0,38.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,479.0,0.0,0.0,0.0,55.0,0,0.0,0.0,0.0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,True,6.0,0.0,29753.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,123.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0
324.0,0.0,2846.0,0.0,0.0,2500.0,0.0,0.0,1.0,0.0,0.0,13.0,True,14.0,1.0,21033.0,31.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,134.0,0.0,0.0,0.0,36.0,0,0.0,0.0,0.0,0.0
2093.0,681.0,2458.0,1219.0,4.0,7000.0,1.0,0.0,1.0,0.0,0.0,3.0,True,14.0,1.0,33261.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,515.0,0.0,0.0,0.0,83.0,0,0.0,0.0,0.0,0.0
527.0,1086.0,2172.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,4.0,False,8.0,1.0,35793.0,64.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,153.0,0.0,0.0,0.0,50.0,1,0.0,0.0,1.0,0.0
230.0,0.0,1730.0,0.0,0.0,750.0,0.0,0.0,1.0,0.0,0.0,4.0,True,11.0,0.0,36969.0,21.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0,1.0,0.0,7.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1632.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,False,0.0,1.0,28636.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,273.0,0.0,0.0,0.0,4.0,0,0.0,0.0,1.0,0.0
10406.0,645.0,21633.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,7.0,True,3.0,1.0,33795.0,72.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,343.0,0.0,0.0,0.0,27.0,1,0.0,0.0,1.0,0.0
1343.0,374.0,1816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,2.0,0.0,47325.0,67.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,263.0,0.0,0.0,0.0,4.0,1,0.0,0.0,1.0,0.0
3826.0,28.0,1828.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,False,6.0,0.0,28582.0,77.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,330.0,0.0,0.0,0.0,13.0,1,0.0,0.0,1.0,0.0
458.0,93.0,1641.0,0.0,0.0,6000.0,0.0,0.0,1.0,0.0,0.0,11.0,True,1.0,0.0,28517.0,23.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0
1069.0,278.0,1744.0,0.0,0.0,1500.0,0.0,0.0,1.0,0.0,0.0,2.0,True,2.0,0.0,38214.0,23.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,174.0,0.0,0.0,0.0,30.0,0,0.0,0.0,0.0,0.0
359.0,844.5,1689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True,5.0,0.0,37110.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,222.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0
14556.0,3440.0,4013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,False,0.0,0.0,47965.0,66.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,384.0,0.0,0.0,0.0,2.0,1,5568.219879041393,1.0,1.0,0.0
2293.0,813.0,2374.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,6.0,True,3.0,0.0,22206.0,60.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,255.0,0.0,0.0,0.0,55.0,0,0.0,0.0,1.0,0.0
1013.0,136.0,4983.0,0.0,1.0,4000.0,0.0,1.0,1.0,0.0,0.0,6.0,True,2.0,1.0,32173.0,23.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,344.0,0.0,0.0,0.0,12.0,1,0.0,0.0,0.0,0.0
322.0,23.0,2750.0,0.0,0.0,4500.0,0.0,0.0,0.0,0.0,0.0,3.0,True,7.0,0.0,34511.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,258.0,0.0,0.0,0.0,105.0,0,0.0,0.0,0.0,0.0
839.0,230.0,2049.0,0.0,0.0,4000.0,0.0,0.0,1.0,0.0,0.0,7.0,True,8.0,0.0,35205.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,287.0,0.0,0.0,0.0,52.0,1,0.0,0.0,0.0,0.0
323.0,38.0,1639.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,True,3.0,0.0,24433.0,60.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,382.0,0.0,0.0,0.0,37.0,0,0.0,0.0,1.0,0.0
3603.0,624.0,2604.0,0.0,0.0,9000.0,0.0,0.0,0.0,1.0,0.0,7.0,True,8.0,0.0,31440.0,56.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,350.0,0.0,0.0,0.0,148.0,0,0.0,0.0,0.0,0.0
1909.0,671.0,4239.0,1864.0,3.0,15000.0,1.0,1.0,1.0,1.0,0.0,6.0,True,16.0,1.0,35918.0,40.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,281.0,0.0,2.0,0.0,62.0,0,0.0,0.0,0.0,0.0
1442.0,1259.0,2518.0,0.0,0.0,15000.0,0.0,0.0,1.0,0.0,0.0,8.0,True,2.0,0.0,30359.0,22.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,83.0,0.0,0.0,0.0,49.0,0,0.0,0.0,0.0,0.0
528.0,21.0,3910.0,0.0,0.0,6000.0,0.0,0.0,1.0,0.0,0.0,10.0,True,5.0,0.0,20718.0,53.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,324.0,0.0,1.0,0.0,77.0,0,0.0,0.0,0.0,0.0
1590.0,71.0,2824.0,0.0,0.0,2500.0,0.0,0.0,0.0,1.0,0.0,2.0,True,6.0,0.0,31928.0,65.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,350.0,0.0,0.0,0.0,58.0,0,0.0,0.0,1.0,0.0
228.0,0.0,1644.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,True,8.0,0.0,25703.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,8.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,9.0,0.0,40974.0,60.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0
738.0,125.0,2789.0,0.0,0.0,6000.0,0.0,0.0,1.0,0.0,0.0,10.0,True,6.0,0.0,32155.0,28.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,362.0,0.0,0.0,0.0,49.0,0,550.38447391892,1.0,0.0,0.0
41694.0,8178.0,21818.0,236.0,2.0,1500.0,0.0,1.0,1.0,1.0,0.0,5.0,True,1.0,0.0,30298.0,53.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,599.0,0.0,0.0,0.0,52.0,1,12267.0,1.0,0.0,0.0
284.0,816.5,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,True,0.0,0.0,31926.0,71.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,270.0,0.0,0.0,0.0,4.0,1,0.0,0.0,1.0,0.0
227.0,810.0,1620.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,5.0,True,5.0,0.0,32322.0,68.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,245.0,0.0,0.0,0.0,38.0,1,0.0,0.0,1.0,0.0
23268.0,543.0,20942.0,0.0,0.0,7000.0,0.0,0.0,0.0,0.0,0.0,3.0,True,8.0,1.0,26936.0,70.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,384.0,0.0,0.0,0.0,4.0,0,0.0,0.0,1.0,1.0
273.0,0.0,1669.0,0.0,0.0,3500.0,0.0,0.0,1.0,0.0,0.0,8.0,False,6.0,1.0,33878.0,32.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,370.0,0.0,0.0,0.0,31.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,True,3.0,0.0,32299.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,212.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0
1538.0,526.0,1865.0,0.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,5.0,True,8.0,0.0,31973.0,33.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,289.0,0.0,0.0,0.0,58.0,1,0.0,0.0,0.0,0.0
227.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,True,2.0,0.0,31015.0,29.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,147.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0
946.0,153.0,16384.0,870.0,1.0,8500.0,0.0,0.0,1.0,0.0,0.0,9.0,False,18.0,1.0,28956.0,47.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,290.0,0.0,0.0,0.0,52.0,1,0.0,0.0,0.0,0.0
229.0,0.0,1630.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,True,4.0,0.0,34354.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,242.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0
3913.0,1463.0,2357.0,0.0,0.0,3500.0,0.0,0.0,0.0,1.0,0.0,4.0,True,4.0,0.0,34723.0,54.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,384.0,0.0,0.0,0.0,41.0,0,573.2549449936128,1.0,0.0,0.0
697.0,196.0,3286.0,930.0,1.0,1500.0,0.0,0.0,1.0,0.0,0.0,9.0,True,0.0,1.0,28365.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,349.0,0.0,0.0,0.0,49.0,1,0.0,0.0,0.0,0.0
283.0,950.5,1901.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,True,8.0,0.0,32205.0,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,80.0,0.0,0.0,0.0,70.0,1,0.0,0.0,0.0,0.0
16341.0,3162.0,15016.0,643.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,True,0.0,1.0,31343.0,40.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,2.0,539.0,0.0,1.0,0.0,48.0,0,0.0,0.0,0.0,0.0
973.0,0.0,1745.0,0.0,0.0,4500.0,0.0,0.0,1.0,1.0,0.0,3.0,True,9.0,1.0,32322.0,54.0,1.0,0.0,1.0,0.0,4.0,6.0,1.0,0.0,3.0,0.0,587.0,1.0,2.0,1955.0,86.0,1,0.0,0.0,0.0,0.0
778.0,208.0,1768.0,0.0,0.0,3500.0,0.0,0.0,0.0,1.0,0.0,7.0,True,9.0,0.0,28953.0,20.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,175.0,0.0,0.0,0.0,22.0,1,160.3725627531063,1.0,0.0,0.0
227.0,1503.0,3006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,True,4.0,0.0,37566.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,100.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0
4569.0,1825.0,2334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,True,8.0,0.0,28586.0,68.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,4.0,0,0.0,0.0,1.0,0.0
2552.0,441.0,5869.0,1781.0,2.0,6000.0,0.0,0.0,1.0,1.0,0.0,11.0,True,1.0,1.0,32943.0,49.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,324.0,0.0,0.0,0.0,138.0,1,0.0,0.0,0.0,0.0
6860.0,3305.0,3305.0,0.0,0.0,12000.0,0.0,1.0,0.0,0.0,0.0,6.0,True,6.0,0.0,32305.0,46.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,324.0,0.0,0.0,0.0,13.0,0,0.0,0.0,0.0,0.0
227.0,0.0,5075.0,0.0,0.0,6000.0,1.0,0.0,1.0,0.0,0.0,6.0,True,2.0,0.0,21904.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,61.0,0.0,0.0,0.0,39.0,1,0.0,0.0,0.0,0.0
274.0,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,0.0,29151.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,124.0,0.0,0.0,0.0,4.0,1,234.2765025183492,1.0,0.0,0.0
1665.0,603.0,1942.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,True,2.0,0.0,31771.0,44.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,122.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0
912.0,100.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,6.0,0.0,35747.0,48.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,242.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0
2075.0,776.0,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True,3.0,0.0,28428.0,63.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,246.0,0.0,0.0,0.0,3.0,1,0.0,0.0,1.0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,True,9.0,0.0,31645.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,135.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0.0
227.0,810.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,8.0,0.0,39027.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,273.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,True,6.0,0.0,29113.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,273.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0
2398.0,563.0,2886.0,41.0,1.0,11000.0,0.0,0.0,1.0,1.0,0.0,5.0,True,1.0,1.0,33460.0,53.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,347.0,0.0,0.0,0.0,94.0,1,0.0,0.0,0.0,0.0
15186.0,3897.0,10953.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,8.0,True,10.0,1.0,37783.0,59.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,396.0,0.0,0.0,0.0,3.0,0,9863.870894440832,1.0,0.0,1.0
227.0,0.0,2282.0,1539.0,2.0,6000.0,0.0,0.0,0.0,0.0,0.0,7.0,True,3.0,1.0,38238.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,147.0,0.0,1.0,0.0,18.0,1,0.0,0.0,0.0,0.0
5631.0,3289.0,6578.0,0.0,0.0,6500.0,0.0,1.0,1.0,1.0,0.0,5.0,True,8.0,1.0,36404.0,36.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,242.0,0.0,0.0,0.0,43.0,1,0.0,0.0,0.0,0.0
5356.0,794.0,6251.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,True,6.0,0.0,31004.0,69.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,207.0,0.0,0.0,0.0,4.0,0,0.0,0.0,1.0,0.0
3626.0,284.0,7375.0,0.0,2.0,15000.0,0.0,1.0,1.0,1.0,0.0,8.0,True,23.0,1.0,41152.0,46.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,478.0,0.0,0.0,0.0,1.0,0,3375.965300132812,1.0,0.0,1.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,True,7.0,0.0,32103.0,44.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,273.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0
867.0,903.0,1806.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,7.0,True,9.0,0.0,35029.0,39.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,220.0,0.0,0.0,0.0,18.0,1,0.0,0.0,0.0,0.0
18234.0,949.0,30101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,False,2.0,0.0,41095.0,76.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0
4851.0,803.0,5465.0,1307.0,2.0,13000.0,0.0,0.0,1.0,0.0,0.0,9.0,True,4.0,1.0,37604.0,46.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,306.0,0.0,0.0,0.0,115.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,False,1.0,0.0,28754.0,22.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,108.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0
6855.0,1664.0,8205.0,1634.0,7.0,6000.0,1.0,1.0,1.0,1.0,0.0,8.0,True,4.0,1.0,33188.0,33.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,105.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0
228.0,0.0,14103.0,3343.0,3.0,3000.0,0.0,0.0,0.0,0.0,0.0,9.0,True,0.0,1.0,43127.0,37.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,107.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0
703.0,894.0,1788.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,4.0,False,12.0,0.0,29986.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,243.0,0.0,0.0,0.0,4.0,1,0.0,0.0,0.0,0.0
229.0,0.0,1621.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,True,5.0,0.0,31947.0,38.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,57.0,1,0.0,0.0,0.0,0.0
227.0,0.0,1620.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,4.0,True,0.0,0.0,27364.0,46.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,78.0,0.0,0.0,0.0,35.0,1,0.0,0.0,0.0,0.0
334.0,0.0,1821.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,True,9.0,1.0,28976.0,38.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,338.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0
242.0,915.0,1830.0,52.0,2.0,2500.0,0.0,0.0,0.0,0.0,0.0,3.0,True,2.0,1.0,32085.0,53.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,107.0,0.0,0.0,0.0,8.0,0,0.0,0.0,0.0,0.0
